Manifesto;Filial;Data;Veículo;Destino;Serviços;NFs;Kg Real;Kg Taxado;M3;Vale frete;Valor NF;Valor Fretes;Valor Final;% Aprov. Veículo;Km saída;Km chegada;Km final;Classificação;Observações operacionais;Status;Usuário
77992;LSP REIS MATRIZ SJC;12/09/2025;RCE9D43;Caçapava, São José dos Campos;19;25;1667;1667;0;657;55278;994;994;104;181585;181825;240;MINERVA;225,05 KM;Finalizado;Matheus Antonioli
77993;LSP REIS MATRIZ SJC;12/09/2025;BYP9G76;São Paulo;4;5;2822;2822;0;0;89160;1475;1475;56;428799;429062;263;FRZ Log;;Finalizado;Juliana Curi Ferreira
77994;LSP REIS MATRIZ SJC;12/09/2025;SVY3I37;São Sebastião;1;7;1245;1245;0;786;10595;1132;1132;83;34296;34629;333;FRZ Log;;Finalizado;Juliana Curi Ferreira
77995;LSP REIS MATRIZ SJC;12/09/2025;CFY2A84;Guaratinguetá, Lorena, Cruzeiro;24;28;1440;1440;0;797;51467;1201;1201;90;126467;126765;298;MINERVA;338,84 KM;Finalizado;Matheus Antonioli
77996;LSP REIS MATRIZ SJC;12/09/2025;ERJ4C92;Hortolândia, Sumaré;2;2;141;141;0;1011;3093;90;90;8;436450;436988;538;FRZ Log;EMBARCADO AS NFS: 257776 257777 257793 257826 257830 257773 257831 257849 202831 257804 257811 257781 257786 257807 257840 257824;Finalizado;Juliana Curi Ferreira
77997;LSP REIS MATRIZ SJC;12/09/2025;EYE9683;Taubaté;31;35;1427;1427;0;657;49861;917;917;89;730195;730376;181;MINERVA;182,94 KM;Finalizado;Matheus Antonioli
77998;LSP REIS MATRIZ SJC;12/09/2025;FHU3H82;Taubaté;4;8;2059;2059;0;568;34865;1511;1511;93;338829;338936;107;FRZ Log;;Finalizado;Juliana Curi Ferreira
77999;LSP REIS MATRIZ SJC;12/09/2025;EBO8D53;Santo Antônio do Pinhal, Tremembé, São Bento do Sapucaí, Campos do Jordão;28;33;1511;1511;0;725;57587;1141;1141;94;418012;418290;278;MINERVA;306,17 KM;Finalizado;Matheus Antonioli
78000;LSP REIS MATRIZ SJC;12/09/2025;DRL2D56;Jambeiro;1;1;10;10;0;766;356;7;7;0;707244;707516;272;FRZ Log;;Finalizado;Juliana Curi Ferreira
78001;LSP REIS MATRIZ SJC;12/09/2025;GET1D33;Ilhabela;3;5;1110;1110;0;725;30355;779;779;74;406704;406982;278;FRZ Log;;Finalizado;Juliana Curi Ferreira
78002;LSP REIS MATRIZ SJC;12/09/2025;ENM6J23;Poá, Biritiba Mirim, Itaquaquecetuba;3;8;595;595;0;745;13296;377;377;37;762587;762883;296;FRZ Log;EMBARCADO AS NFS: 257369;Finalizado;Juliana Curi Ferreira
78003;LSP REIS MATRIZ SJC;12/09/2025;QCC3I28;Jacareí;1;13;2084;2084;0;918;22522;811;1353;59;233950;234034;84;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78004;LSP REIS MATRIZ SJC;12/09/2025;FQJ5B94;Jundiaí, Cabreúva;2;2;1088;1088;0;808;39808;494;494;72;426573;426926;353;FRZ Log;;Finalizado;Juliana Curi Ferreira
78005;LSP REIS MATRIZ SJC;12/09/2025;QCC3H88;Guararema;1;8;2865;2865;0;1164;30485;811;1353;143;104014;104221;207;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78006;LSP REIS MATRIZ SJC;12/09/2025;EAY0J27;Jacareí;1;13;2343;2343;0;566;25175;583;973;93;780362;780424;62;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78007;LSP REIS MATRIZ SJC;12/09/2025;EFW4A13;Jandira, Cotia, São Paulo;9;9;642;642;0;795;28111;292;292;29;421310;421535;225;FRZ Log;;Finalizado;Juliana Curi Ferreira
78008;LSP REIS MATRIZ SJC;12/09/2025;ELQ7E29;São José dos Campos;1;11;3502;3502;0;782;35536;811;1353;100;565104;565192;88;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78009;LSP REIS MATRIZ SJC;12/09/2025;EZA3I01;São José dos Campos;1;6;5248;5248;0;1127;58255;1014;1690;80;419805;419916;111;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78010;LSP REIS MATRIZ SJC;12/09/2025;OKZ0385;São José dos Campos;1;10;3260;3260;0;803;34403;811;1353;93;480083;480185;102;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78011;LSP REIS MATRIZ SJC;12/09/2025;CVN9851;São José dos Campos;1;13;2779;2779;0;0;29998;811;1353;79;659006;659111;105;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78012;LSP REIS MATRIZ SJC;12/09/2025;OPN8A95;Caçapava;4;4;3207;3207;0;986;29896;811;1353;91;378372;378490;118;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78013;LSP REIS MATRIZ SJC;12/09/2025;HJF7035;Taubaté;1;11;2800;2800;0;909;34412;811;1353;80;471052;471225;173;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
78014;LSP REIS MATRIZ SJC;12/09/2025;FGE7H39;Itaquaquecetuba;1;8;1329;1329;0;535;14902;811;1353;83;255609;255733;124;Adoro Varzea Paulista;;Finalizado;Matheus Antonioli
